Country,latitude,longitude,TCO_1850,TCO_1875,TCO_1900,TCO_1925,TCO_1950,TCO_1975,TCO_1985,TCO_2000,TCO_2020
United States,39.715956,-96.999668,0.84,2.97,8.41,14.65,16,20.44,19.34,21.34,14.24
United Kingdom,52.418788,-1.247349,4.5,8.2,10.13,9.61,9.89,10.74,9.92,9.63,4.85
China,32.523743,106.431983,0.01,0.01,0.01,0.07,0.04,1.28,1.86,2.66,7.41
India,22.412321,79.132924,0.01,0.01,0.04,0.12,0.16,0.38,0.51,0.93,1.77
Brazil,-11.928923,-49.542449,0.01,0.01,0.11,0.18,0.36,1.41,1.33,1.95,2.2
South Africa,-29.708985,23.666291,0.01,0.01,0.44,3.5,4.48,7.34,9.91,8.45,7.62
Germany,51.196755,9.62743,0.45,2.44,5.57,7.14,7.3,13.85,13.44,11.05,7.69
Spain,40.09095,-3.464618,0.03,0.2,0.6,0.85,1.18,5.05,5.16,7.63,4.47
France,46.698481,2.549047,0.54,1.7,3.23,5.41,4.84,9.11,7.3,6.88,4.24
Canada,58.33747,-112.384858,0.02,0.47,3.81,8.03,11.22,17.21,16.38,18.52,14.2
Mexico,23.920061,-102.289691,0.01,0.01,0.07,3.63,1.09,2.75,3.78,4,2.77
Australia,-23.992438,134.050443,0.22,0.42,2.75,4.87,6.69,12.76,15.39,18.53,15.37
Sweden,65.859144,19.017205,0.06,0.52,1.29,2.18,4.09,9.85,7.46,6.16,3.83
Japan,36.13793,138.441899,0.01,0.04,0.44,1.38,1.24,7.73,7.49,9.91,8.15
Russia,63.314401,93.884016,0.01,0.08,0.71,0.4,4.03,13.64,16.4,10.05,10.81
